ページ,役割,セレクタ,PC(>1140px),,≤1140px,,≤840px,,≤540px,,≤320px,,要確認
index,WE THINK カード3見出し,.wb-box.wb-approach__card-development-title,20px,700,20px,700,20px,700,18px,700,16px,700,
index,COMPANY INFO 項目ラベル（社名など・共通）,.wb-box.wb-company__name-label,12px,600,16px,600,14px,600,12px,600,12px,600,PC→≤1140でサイズが増加(12px→16px)
index,COMPANY INFO 項目ラベル（住所）,.wb-box.wb-company__address-label,12px,600,16px,600,14px,600,12px,600,12px,600,PC→≤1140でサイズが増加(12px→16px)
index,COMPANY INFO 項目ラベル（設立）,.wb-box.wb-company__founded-label,12px,600,16px,600,14px,600,12px,600,12px,600,PC→≤1140でサイズが増加(12px→16px)
index,COMPANY INFO 項目ラベル（資本金）,.wb-box.wb-company__capital-label,12px,600,16px,600,14px,600,12px,600,12px,600,PC→≤1140でサイズが増加(12px→16px)
index,COMPANY INFO 項目ラベル（代表者）,.wb-box.wb-company__director-label,12px,600,16px,600,14px,600,12px,600,12px,600,PC→≤1140でサイズが増加(12px→16px)
index,COMPANY INFO 社名（和文）,.wb-box.wb-company__name-ja,16px,700,16px,700,16px,700,14px,700,14px,700,
index,COMPANY INFO 住所（和文）,.wb-box.wb-company__address-ja,16px,700,16px,700,16px,700,14px,700,13px,700,
index,COMPANY INFO 設立（和文）,.wb-box.wb-company__founded-ja,16px,700,16px,700,16px,700,14px,700,13px,700,
index,COMPANY INFO 資本金（和文）,.wb-box.wb-company__capital-ja,16px,700,16px,700,16px,700,14px,700,13px,700,
index,COMPANY INFO 代表者（和文）,.wb-box.wb-company__director-ja,16px,700,16px,700,16px,700,14px,700,13px,700,
index,COMPANY INFO 社名（英文）,.wb-box.wb-company__name-en,14px,500,16px,500,14px,500,13px,500,12px,500,PC→≤1140でサイズが増加(14px→16px)
index,COMPANY INFO 住所（英文）,.wb-box.wb-company__address-en,14px,500,16px,500,14px,500,13px,500,12px,500,PC→≤1140でサイズが増加(14px→16px)
index,COMPANY INFO 設立（英文）,.wb-box.wb-company__founded-en,14px,500,16px,500,14px,500,13px,500,12px,500,PC→≤1140でサイズが増加(14px→16px)
index,COMPANY INFO 資本金（英文）,.wb-box.wb-company__capital-en,14px,500,16px,500,14px,500,13px,500,12px,500,PC→≤1140でサイズが増加(14px→16px)
index,COMPANY INFO 代表者（英文）,.wb-box.wb-company__director-en,14px,500,16px,500,14px,500,13px,500,12px,500,PC→≤1140でサイズが増加(14px→16px)
index,COMPANY INFO お問い合わせ導線 見出し,.wb-box.wb-company__contact-title,24px,700,24px,700,20px,700,20px,700,18px,700,
index,COMPANY INFO お問い合わせ導線 補足,.wb-box.wb-company__contact-note,14px,700,14px,700,14px,700,12px,700,12px,700,
index,COMPANY INFO お問い合わせ導線 アイコン,.wb-box.wb-company__contact-icon,36px,,36px,,32px,,28px,,24px,,
index,フッター コピーライト,.wb-box.wb-footer__copyright,14px,500,14px,500,14px,500,12px,500,12px,500,
index,フッター プライバシーリンク,.wb-box.wb-footer__privacy,14px,700,14px,700,14px,700,12px,700,12px,700,
index,Wonder Lab 大見出し,.wb-box.wb-wonderlab__title,96px,700,8vw,700,8vw,700,10vw,700,10vw,700,vw単位（クランプなし）を含む
index,Wonder Lab リード文,.wb-box.wb-wonderlab__subtitle,20px,700,16px,700,16px,700,14px,700,14px,700,
index,Wonder Lab リード本文（和文）,.wb-box.wb-wonderlab__lead-ja,16px,600,16px,600,16px,600,16px,600,14px,600,
index,Wonder Lab リード本文（英文）,.wb-box.wb-wonderlab__lead-en,14px,500,14px,500,14px,500,13px,500,12px,500,
index,Wonder Lab プロダクトカード リンク,.wb-box.wb-wonderlab__product-link,13px,700,13px,700,13px,700,13px,700,13px,700,
index,Wonder Lab プロダクト見出し（和文）,.wb-box.wb-wonderlab__product-heading-ja,24px,700,24px,700,24px,700,20px,700,18px,700,
index,Wonder Lab プロダクト見出し（英文）,.wb-box.wb-wonderlab__product-heading-en,16px,700,16px,700,16px,700,14px,700,13px,700,
index,Wonder Lab プロダクト説明（和文）,.wb-box.wb-wonderlab__product-ja,16px,600,16px,600,16px,600,16px,600,14px,600,
index,Wonder Lab プロダクト説明（英文）,.wb-box.wb-wonderlab__product-en,14px,500,14px,500,14px,500,13px,500,12px,500,
contact,フォームタイトル,.wb-box.cf-title,28px,600,28px,600,24px,600,24px,600,24px,600,
contact,フォーム説明文,.wb-box.cf-note,14px,600,16px,600,14px,600,12px,600,12px,600,PC→≤1140でサイズが増加(14px→16px)
contact,入力欄ラベル（共通）,.wb-box.cf-field__label-text,14px,600,14px,600,14px,600,14px,600,12px,600,
contact,入力欄ラベル（メール）,.wb-box.cf-field-email__label-text,14px,600,14px,600,14px,600,14px,600,12px,600,
contact,入力欄ラベル（メッセージ）,.wb-box.cf-field-message__label-text,14px,600,14px,600,14px,600,14px,600,12px,600,
contact,必須マーク（共通）,.wb-box.cf-field__required,14px,700,14px,700,14px,700,14px,700,12px,700,
contact,必須マーク（メール）,.wb-box.cf-field-email__required,14px,700,14px,700,14px,700,14px,700,12px,700,
contact,必須マーク（メッセージ）,.wb-box.cf-field-message__required,14px,700,14px,700,14px,700,14px,700,12px,700,
contact,入力欄テキスト（共通）,.wb-box.cf-field__input,15px,500,15px,500,15px,500,15px,500,15px,500,
contact,入力欄テキスト（メール）,.wb-box.cf-field-email__input,15px,500,15px,500,15px,500,15px,500,15px,500,
contact,入力欄テキスト（メッセージ）,.wb-box.cf-field-message__input,15px,500,15px,500,15px,500,15px,500,15px,500,
contact,同意文,.wb-box.cf-consent__text,14px,600,14px,600,14px,600,14px,600,14px,600,
contact,送信ボタン（全体）,.wb-box.cf-submit,15px,,15px,,15px,,15px,,15px,,
contact,送信ボタン ラベル文字,.wb-box.cf-submit__text,14px,700,14px,700,14px,700,12px,700,12px,700,
contact,送信ボタン アイコン,.wb-box.cf-submit__icon,20px,,20px,,20px,,20px,,20px,,
contact,フッター コピーライト,.wb-box.cf-footer__copyright,14px,500,14px,500,14px,500,12px,500,12px,500,
contact,フッター プライバシーリンク,.wb-box.cf-footer__privacy,14px,700,14px,700,14px,700,12px,700,12px,700,
contact,.form-thanks .thanks-title,.form-thanks .thanks-title,28px,700,28px,700,28px,700,28px,700,28px,700,
contact,.form-thanks .thanks-text,.form-thanks .thanks-text,15px,500,15px,500,15px,500,15px,500,15px,500,
contact,.form-thanks .thanks-back,.form-thanks .thanks-back,14px,700,14px,700,14px,700,14px,700,14px,700,
contact,.form-error,.form-error,13px,,13px,,13px,,13px,,13px,,
privacy,ページタイトル,.wb-box.pp-title,28px,600,28px,600,18px,600,24px,600,24px,600,≤840→≤540でサイズが増加(18px→24px)
privacy,リード文,.wb-box.pp-lead,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第1条 見出し,.wb-box.pp-article-1__heading,18px,600,16px,600,14px,600,16px,600,16px,600,≤840→≤540でサイズが増加(14px→16px)
privacy,第2条 見出し,.wb-box.pp-article-2__heading,18px,600,16px,600,14px,600,16px,600,16px,600,≤840→≤540でサイズが増加(14px→16px)
privacy,第4条 見出し,.wb-box.pp-article-4__heading,18px,600,16px,600,14px,600,16px,600,16px,600,≤840→≤540でサイズが増加(14px→16px)
privacy,第5条 見出し,.wb-box.pp-article-5__heading,18px,600,16px,600,14px,600,16px,600,16px,600,≤840→≤540でサイズが増加(14px→16px)
privacy,第6条 見出し,.wb-box.pp-article-6__heading,18px,600,16px,600,14px,600,16px,600,16px,600,≤840→≤540でサイズが増加(14px→16px)
privacy,第7条 見出し,.wb-box.pp-article-7__heading,18px,600,16px,600,14px,600,16px,600,16px,600,≤840→≤540でサイズが増加(14px→16px)
privacy,第8条 見出し,.wb-box.pp-article-8__heading,18px,600,16px,600,14px,600,16px,600,16px,600,≤840→≤540でサイズが増加(14px→16px)
privacy,第9条 見出し,.wb-box.pp-article-9__heading,18px,600,16px,600,14px,600,16px,600,16px,600,≤840→≤540でサイズが増加(14px→16px)
privacy,第10条 見出し,.wb-box.pp-article-10__heading,18px,600,16px,600,14px,600,16px,600,16px,600,≤840→≤540でサイズが増加(14px→16px)
privacy,第1条 本文段落1,.wb-box.pp-article-1__para-1,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第2条 本文段落1,.wb-box.pp-article-2__para-1,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第3条 箇条書き1 本文,.wb-box.pp-article-3__item-1-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第3条 箇条書き2 本文,.wb-box.pp-article-3__item-2-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第3条 箇条書き3 本文,.wb-box.pp-article-3__item-3-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第3条 箇条書き4 本文,.wb-box.pp-article-3__item-4-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第3条 箇条書き5 本文,.wb-box.pp-article-3__item-5-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第3条 箇条書き6 本文,.wb-box.pp-article-3__item-6-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第3条 箇条書き7 本文,.wb-box.pp-article-3__item-7-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第3条 箇条書き8 本文,.wb-box.pp-article-3__item-8-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第4条 箇条書き1 本文,.wb-box.pp-article-4__item-1-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第4条 箇条書き2 本文,.wb-box.pp-article-4__item-2-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き1 本文,.wb-box.pp-article-5__item-1-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き2 本文,.wb-box.pp-article-5__item-2-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き3 本文,.wb-box.pp-article-5__item-3-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き4 本文,.wb-box.pp-article-5__item-4-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き5 本文,.wb-box.pp-article-5__item-5-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き6 本文,.wb-box.pp-article-5__item-6-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き7 本文,.wb-box.pp-article-5__item-7-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き8 本文,.wb-box.pp-article-5__item-8-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き9 本文,.wb-box.pp-article-5__item-9-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き10 本文,.wb-box.pp-article-5__item-10-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き11 本文,.wb-box.pp-article-5__item-11-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き12 本文,.wb-box.pp-article-5__item-12-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き13 本文,.wb-box.pp-article-5__item-13-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き14 本文,.wb-box.pp-article-5__item-14-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第6条 箇条書き1 本文,.wb-box.pp-article-6__item-1-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第6条 箇条書き2 本文,.wb-box.pp-article-6__item-2-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第6条 箇条書き3 本文,.wb-box.pp-article-6__item-3-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第6条 箇条書き4 本文,.wb-box.pp-article-6__item-4-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第6条 箇条書き5 本文,.wb-box.pp-article-6__item-5-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第7条 箇条書き1 本文,.wb-box.pp-article-7__item-1-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第7条 箇条書き2 本文,.wb-box.pp-article-7__item-2-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第7条 箇条書き3 本文,.wb-box.pp-article-7__item-3-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第8条 箇条書き1 本文,.wb-box.pp-article-8__item-1-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第8条 箇条書き2 本文,.wb-box.pp-article-8__item-2-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第8条 箇条書き3 本文,.wb-box.pp-article-8__item-3-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第8条 箇条書き4 本文,.wb-box.pp-article-8__item-4-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第9条 箇条書き1 本文,.wb-box.pp-article-9__item-1-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第9条 箇条書き2 本文,.wb-box.pp-article-9__item-2-text,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第3条 見出し,.wb-box.pp-article-3__heading,18px,600,16px,600,14px,600,14px,600,14px,600,
privacy,第3条 本文段落1,.wb-box.pp-article-3__para-1,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第10条 本文段落1,.wb-box.pp-article-10__para-1,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第10条 本文段落2,.wb-box.pp-article-10__para-2,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第10条 本文段落3,.wb-box.pp-article-10__para-3,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第3条 箇条書き1 番号,.wb-box.pp-article-3__item-1-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第3条 箇条書き2 番号,.wb-box.pp-article-3__item-2-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第3条 箇条書き3 番号,.wb-box.pp-article-3__item-3-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第3条 箇条書き4 番号,.wb-box.pp-article-3__item-4-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第3条 箇条書き5 番号,.wb-box.pp-article-3__item-5-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第3条 箇条書き6 番号,.wb-box.pp-article-3__item-6-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第3条 箇条書き7 番号,.wb-box.pp-article-3__item-7-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第3条 箇条書き8 番号,.wb-box.pp-article-3__item-8-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第4条 箇条書き1 番号,.wb-box.pp-article-4__item-1-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第4条 箇条書き2 番号,.wb-box.pp-article-4__item-2-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き1 番号,.wb-box.pp-article-5__item-1-num,14px,600,14px,600,14px,600,16px,600,16px,600,≤840→≤540でサイズが増加(14px→16px)
privacy,第5条 箇条書き2 番号,.wb-box.pp-article-5__item-2-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き3 番号,.wb-box.pp-article-5__item-3-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き4 番号,.wb-box.pp-article-5__item-4-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き5 番号,.wb-box.pp-article-5__item-5-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き6 番号,.wb-box.pp-article-5__item-6-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き7 番号,.wb-box.pp-article-5__item-7-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き8 番号,.wb-box.pp-article-5__item-8-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き9 番号,.wb-box.pp-article-5__item-9-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き10 番号,.wb-box.pp-article-5__item-10-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き11 番号,.wb-box.pp-article-5__item-11-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き12 番号,.wb-box.pp-article-5__item-12-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き13 番号,.wb-box.pp-article-5__item-13-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第5条 箇条書き14 番号,.wb-box.pp-article-5__item-14-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第6条 箇条書き1 番号,.wb-box.pp-article-6__item-1-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第6条 箇条書き2 番号,.wb-box.pp-article-6__item-2-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第6条 箇条書き3 番号,.wb-box.pp-article-6__item-3-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第6条 箇条書き4 番号,.wb-box.pp-article-6__item-4-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第6条 箇条書き5 番号,.wb-box.pp-article-6__item-5-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第7条 箇条書き1 番号,.wb-box.pp-article-7__item-1-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第7条 箇条書き2 番号,.wb-box.pp-article-7__item-2-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第7条 箇条書き3 番号,.wb-box.pp-article-7__item-3-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第8条 箇条書き1 番号,.wb-box.pp-article-8__item-1-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第8条 箇条書き2 番号,.wb-box.pp-article-8__item-2-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第8条 箇条書き3 番号,.wb-box.pp-article-8__item-3-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第8条 箇条書き4 番号,.wb-box.pp-article-8__item-4-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第9条 箇条書き1 番号,.wb-box.pp-article-9__item-1-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第9条 箇条書き2 番号,.wb-box.pp-article-9__item-2-num,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,第10条 リンク,.wb-box.pp-article-10__link,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,結び文,.wb-box.pp-closing,14px,600,14px,600,14px,600,14px,600,14px,600,
privacy,戻るリンク,.wb-box.pp-back-link__text,15px,700,15px,700,15px,700,14px,700,14px,700,
privacy,フッター コピーライト,.wb-box.pp-footer__copyright,14px,500,14px,500,14px,500,12px,500,12px,500,
privacy,フッター プライバシーリンク,.wb-box.pp-footer__privacy,14px,700,14px,700,14px,700,12px,700,12px,700,
